lineage_id,output_file,output_record_id,output_column,output_value,output_unit,lineage_role,source_record_id,transformation_id,scenario_id,parent_input_ids,verification_status,notes
nodes.csv:M14:latitude,nodes.csv,M14,latitude,31.3263,configuration,observed,NODE_M14,,,[],documented,
nodes.csv:M14:longitude,nodes.csv,M14,longitude,118.3765,configuration,observed,NODE_M14,,,[],documented,
nodes.csv:M14:supplier_flag,nodes.csv,M14,supplier_flag,0,configuration,identifier,NODE_M14,,,[],documented,
nodes.csv:M14:candidate_dc_flag,nodes.csv,M14,candidate_dc_flag,0,configuration,identifier,NODE_M14,,,[],documented,
nodes.csv:M14:market_flag,nodes.csv,M14,market_flag,1,configuration,identifier,NODE_M14,,,[],documented,
nodes.csv:M15:node_id,nodes.csv,M15,node_id,M15,configuration,identifier,NODE_M15,,,[],documented,
nodes.csv:M15:city,nodes.csv,M15,city,Jinhua,configuration,identifier,NODE_M15,,,[],documented,
nodes.csv:M15:province,nodes.csv,M15,province,Zhejiang,configuration,identifier,NODE_M15,,,[],documented,
nodes.csv:M15:latitude,nodes.csv,M15,latitude,29.0792,configuration,observed,NODE_M15,,,[],documented,
nodes.csv:M15:longitude,nodes.csv,M15,longitude,119.6474,configuration,observed,NODE_M15,,,[],documented,
nodes.csv:M15:supplier_flag,nodes.csv,M15,supplier_flag,0,configuration,identifier,NODE_M15,,,[],documented,
nodes.csv:M15:candidate_dc_flag,nodes.csv,M15,candidate_dc_flag,0,configuration,identifier,NODE_M15,,,[],documented,
nodes.csv:M15:market_flag,nodes.csv,M15,market_flag,1,configuration,identifier,NODE_M15,,,[],documented,
market_params.csv:C01:market_id,market_params.csv,C01,market_id,C01,configuration,identifier,STAT_C01,,,[],documented,
market_params.csv:C01:city,market_params.csv,C01,city,Shanghai,configuration,identifier,STAT_C01,,,[],documented,
market_params.csv:C01:demand_weight,market_params.csv,C01,demand_weight,0.13683557,ratio,derived,STAT_C01,T_DEMAND_WEIGHT_001,,"[""STAT_C01"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C01:mu_annual_tonnes,market_params.csv,C01,mu_annual_tonnes,136835.573955,tonnes/year,derived,STAT_C01,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C01:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C01:mu_daily_tonnes,market_params.csv,C01,mu_daily_tonnes,374.891983,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C01:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C01:sigma2_daily,market_params.csv,C01,sigma2_daily,5621.75997,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C01:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C01:observed_price_cny_per_tonne,market_params.csv,C01,observed_price_cny_per_tonne,3150.0,CNY/tonne,observed,PRICE_C01,,,[],pending_verification,
market_params.csv:C01:v_i_baseline,market_params.csv,C01,v_i_baseline,150.0,CNY/tonne,derived,PRICE_C01,T_RESERVATION_PRICE_001,SCEN_PRODUCTION_COST_CNY_PER_TONNE,"[""market_params.csv:C01:observed_price_cny_per_tonne"", ""SCEN_PRODUCTION_COST_CNY_PER_TONNE""]",pending_verification,
market_params.csv:C01:price_status,market_params.csv,C01,price_status,observed,configuration,identifier,PRICE_C01,,,[],pending_verification,
market_params.csv:C02:market_id,market_params.csv,C02,market_id,C02,configuration,identifier,STAT_C02,,,[],documented,
market_params.csv:C02:city,market_params.csv,C02,city,Nanjing,configuration,identifier,STAT_C02,,,[],documented,
market_params.csv:C02:demand_weight,market_params.csv,C02,demand_weight,0.06856212,ratio,derived,STAT_C02,T_DEMAND_WEIGHT_001,,"[""STAT_C02"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C02:mu_annual_tonnes,market_params.csv,C02,mu_annual_tonnes,68562.117509,tonnes/year,derived,STAT_C02,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C02:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C02:mu_daily_tonnes,market_params.csv,C02,mu_daily_tonnes,187.841418,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C02:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C02:sigma2_daily,market_params.csv,C02,sigma2_daily,1411.37593,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C02:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C02:observed_price_cny_per_tonne,market_params.csv,C02,observed_price_cny_per_tonne,3350.0,CNY/tonne,observed,PRICE_C02,,,[],pending_verification,
market_params.csv:C02:v_i_baseline,market_params.csv,C02,v_i_baseline,350.0,CNY/tonne,derived,PRICE_C02,T_RESERVATION_PRICE_001,SCEN_PRODUCTION_COST_CNY_PER_TONNE,"[""market_params.csv:C02:observed_price_cny_per_tonne"", ""SCEN_PRODUCTION_COST_CNY_PER_TONNE""]",pending_verification,
