dc_id,market_id,city,current_distance_km,candidate_distance_km,annual_demand_tonnes,transport_rate_cny_per_tonne_km,transport_emission_factor_tco2e_per_tonne_km,cost_cny_per_tonne,emission_tco2e_per_tonne,delta_cost_cny_per_tonne,delta_emission_tco2e_per_tonne,annual_cost_if_all_local_demand_served,annual_emission_if_all_local_demand_served,delta_annual_cost,delta_annual_emission
C04,C04,Wuxi,0.0,15,90725.643356,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,530745.0136326001,95.20749013778641,530745.0136326001,95.20749013778641
C04,C04,Wuxi,0.0,20,90725.643356,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,707660.0181768001,126.9433201837152,707660.0181768001,126.9433201837152
C04,C04,Wuxi,0.0,30,90725.643356,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,1061490.0272652002,190.41498027557282,1061490.0272652002,190.41498027557282
C05,C05,Hangzhou,0.0,0,65010.469402,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C05,C05,Hangzhou,0.0,5,65010.469402,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,126770.41533390002,22.7406621968196,126770.41533390002,22.7406621968196
C05,C05,Hangzhou,0.0,10,65010.469402,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,253540.83066780004,45.4813243936392,253540.83066780004,45.4813243936392
C05,C05,Hangzhou,0.0,15,65010.469402,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,380311.24600170006,68.2219865904588,380311.24600170006,68.2219865904588
C05,C05,Hangzhou,0.0,20,65010.469402,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,507081.6613356001,90.9626487872784,507081.6613356001,90.9626487872784
C05,C05,Hangzhou,0.0,30,65010.469402,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,760622.4920034001,136.4439731809176,760622.4920034001,136.4439731809176
C06,C06,Ningbo,0.0,0,92685.481489,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C06,C06,Ningbo,0.0,5,92685.481489,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,180736.68890355,32.4213814248522,180736.68890355,32.4213814248522
C06,C06,Ningbo,0.0,10,92685.481489,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,361473.3778071,64.8427628497044,361473.3778071,64.8427628497044
C06,C06,Ningbo,0.0,15,92685.481489,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,542210.06671065,97.2641442745566,542210.06671065,97.2641442745566
C06,C06,Ningbo,0.0,20,92685.481489,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,722946.7556142,129.6855256994088,722946.7556142,129.6855256994088
C06,C06,Ningbo,0.0,30,92685.481489,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,1084420.1334213,194.5282885491132,1084420.1334213,194.5282885491132
C07,C07,Hefei,0.0,0,58334.814852,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C07,C07,Hefei,0.0,5,58334.814852,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,113752.88896140002,20.4055182352296,113752.88896140002,20.4055182352296
C07,C07,Hefei,0.0,10,58334.814852,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,227505.77792280004,40.8110364704592,227505.77792280004,40.8110364704592
C07,C07,Hefei,0.0,15,58334.814852,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,341258.66688420007,61.21655470568881,341258.66688420007,61.21655470568881
C07,C07,Hefei,0.0,20,58334.814852,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,455011.5558456001,81.6220729409184,455011.5558456001,81.6220729409184
C07,C07,Hefei,0.0,30,58334.814852,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,682517.3337684001,122.43310941137761,682517.3337684001,122.43310941137761
C08,C08,Jiaxing,0.0,0,44114.112716,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08,C08,Jiaxing,0.0,5,44114.112716,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,86022.51979620001,15.4311166280568,86022.51979620001,15.4311166280568
C08,C08,Jiaxing,0.0,10,44114.112716,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,172045.03959240002,30.8622332561136,172045.03959240002,30.8622332561136
C08,C08,Jiaxing,0.0,15,44114.112716,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,258067.55938860006,46.293349884170404,258067.55938860006,46.293349884170404
C08,C08,Jiaxing,0.0,20,44114.112716,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,344090.07918480004,61.7244665122272,344090.07918480004,61.7244665122272
C08,C08,Jiaxing,0.0,30,44114.112716,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,516135.1187772001,92.58669976834081,516135.1187772001,92.58669976834081
